Senator|Estimated Holdings|Symbol|Company|Sector|Industry|
Dan Sullivan (R-AK)|$77,800|WCMIX|WCM Focused International Growth Fund Institutiona|||
Mark Warner (D-VA)|$77,600|APHKX|Artisan International Value Fund|||
Thom Tillis (R-NC)|$77,500|LCMAX|Driehaus Active Income Fund|||
Tim Kaine (D-VA)|$77,400|BPRIX|Blackrock Inflation Protected Bond Portfolio|||
Thad Cochran (R-MS)|$77,400|MPW|Medical Properties Trust|||
Richard Blumenthal (D-CT)|$77,300|FRFHF|Fairfax Merrifield Assoc|||
Sheldon Whitehouse (D-RI)|$77,300|JARTX|Janus Forty I (NASDAQ)|||
Shelley Moore Capito (R-WV)|$77,200|WEC|Integrys Energy Group|||
Thom Tillis (R-NC)|$77,000|IBM|IBM Corp|||
Pat Toomey (R-PA)|$77,000|ILF|iShares Latin America 40 ETF|||
Thom Tillis (R-NC)|$76,900|DODFX|Dodge & Cox International Fund|||
John Boozman (R-AR)|$76,700|TIP|iShares Tips Bond ETF|||
Tim Kaine (D-VA)|$76,700|ODMAX|Oppenheimer Developing Markets Fund|||
Ben Sasse (R-NE)|$76,400|GVI|iShares Interm Government/Credit Bond|||
Tom Carper (D-DE)|$76,400|ABBV|AbbVie Inc.|Health Care|Major Pharmaceuticals|
Shelley Moore Capito (R-WV)|$76,000|MDT|Medtronic Inc|||
Angus King (D-ME)|$75,700|MAR|Marriott International|||
Tim Kaine (D-VA)|$75,400|GE|GE Capital|||
Tina Smith (D-MN)|$75,400|TCMD|Tactile Systems Technology|||
Gary Peters (D-MI)|$75,300|ECL|Ecolab Inc|||
Amy Klobuchar (D-MN)|$75,100|FAEGX|Fidelity Equity Growth Fund|||
Richard Burr (R-NC)|$75,000|ENB|Enbridge Inc.|||
Sheldon Whitehouse (D-RI)|$75,000|UNP|Union Pacific Corp|||
Ted Cruz (R-TX)|$75,000|GSFRX|Goldman Sachs High Yield Fl Rate Institutional|||
Jon Tester (D-MT)|$74,800|AEP|American Electric Power Company, Inc.|Public Utilities|Electric Utilities: Central|
Angus King (D-ME)|$74,800|ECL|Ecolab Inc|||
Chuck Grassley (R-IA)|$74,700|BIAGX|Brown Advisory Growth Equity Fund|||
David Perdue (R-GA)|$74,600|ORCL|Oracle Corp|||
John Hoeven (R-ND)|$74,400|CE|Celanese Corporation|||
Susan Collins (R-ME)|$74,300|QCOM|Qualcomm Inc|||
Richard Burr (R-NC)|$74,000|KMB|Kimberly-Clark Corp|||
Gary Peters (D-MI)|$73,700|CLX|Clorox Co|||
Kamala Harris (D-CA)|$73,400|VCSH|Vanguard Short-term Corporate Bond|||
Ted Cruz (R-TX)|$73,200|GSTIX|Goldman Sachs Strategic Growth Institutional|||
Patty Murray (D-WA)|$73,200|PTLDX|PIMCO Low Duration Institutional|||
David Perdue (R-GA)|$72,900|DVN|Devon Energy|||
Sheldon Whitehouse (D-RI)|$72,900|MLAAX|Mainstay Funds Large Cap Growth Fund|||
Thom Tillis (R-NC)|$72,700|PTLDX|PIMCO Low Duration Institutional|||
Kamala Harris (D-CA)|$72,500|VGT|Vanguard Information Technology ETF|||
Angus King (D-ME)|$72,300|CSCO|Cisco Systems, Inc.|Technology|Computer Communications Equipment|
Richard Burr (R-NC)|$72,200|ORKLY|Orkla As Spons ADR|||
Rob Portman (R-OH)|$72,100|DFCEX|DFA Emerging Markets Core Equity Fund|||
John Boozman (R-AR)|$71,700|PYPL|PayPal Holdings|||
Gary Peters (D-MI)|$71,500|T|AT&T Inc|||
Shelley Moore Capito (R-WV)|$71,400|KO|Coca-Cola Co|||
Thad Cochran (R-MS)|$71,400|PG|Procter & Gamble|||
Susan Collins (R-ME)|$70,500|DIS|The Walt Disney Co|||
Gary Peters (D-MI)|$70,500|EGP|Eastgroup Properties|||
John Hoeven (R-ND)|$70,500|FLMVX|JPMorgan MidCap Core Fund Mutual Fund|||
Angus King (D-ME)|$70,400|FCNKX|Fidelity Contrafund|||
Mike Enzi (R-WY)|$70,400|FCNKX|Fidelity Contrafund|||
Maria Cantwell (D-WA)|$70,400|RNWK|RealNetworks Inc|||
Shelley Moore Capito (R-WV)|$70,300|PAYX|Paychex Inc|||
Chuck Grassley (R-IA)|$70,300|LZEMX|Lazard Emerging Markets Equity Fund|||
Joe Manchin (D-WV)|$70,000|DFREX|DFA Real Estate Securities Fund|||
Joe Manchin (D-WV)|$69,600|HBAN|Huntington Bancshares|||
Dick Durbin (D-IL)|$69,500|RSP|Guggenheim S&P 500 Equal Weight|||
John Boozman (R-AR)|$68,700|FBHS|Fortune Brands Home & Sec In|||
David Perdue (R-GA)|$68,400|PRGFX|T Rowe Price Growth Stock Fund|||
Tom Carper (D-DE)|$68,400|JNJ|Johnson & Johnson|||
Ron Wyden (D-OR)|$68,100|PCBIX|PCBIX - Principal MidCap Institutional (NASDAQ)Fil|||
Angus King (D-ME)|$68,000|VIMSX|US Mid-Cap Equity Index FunD|||
Doug Jones (D-AL)|$68,000|MCI|Mass Mutual|||
Richard Burr (R-NC)|$67,300|TRV|Travelers Companies|||
Thad Cochran (R-MS)|$67,100|MDLZ|Kraft Foods|||
Ben Cardin (D-MD)|$67,100|IJK|iShares S&P Mid Cap 400 Growth ETF|||
Jack Reed (D-RI)|$67,000|XSD|SPDR S&amp;P Semiconductor ETF|||
Kamala Harris (D-CA)|$66,900|SKYY|First Trust Cloud Computing ETF|||
Sherrod Brown (D-OH)|$66,900|FMAGX|Fidelity Magellan Fund|||
Chuck Grassley (R-IA)|$66,500|PGSGX|JP Morgan Dynamic Small Cap Gr Sel|||
Gary Peters (D-MI)|$66,500|CSCO|Cisco Systems, Inc.|Technology|Computer Communications Equipment|
John Boozman (R-AR)|$66,500|INTC|INTC-Intel Corp|||
Tammy Duckworth (D-IL)|$66,500|EFG|iShares MSCI EAFE Growth ETF|||
Rand Paul (R-KY)|$66,400|VBIAX|Vanguard Balanced Index|||
David Perdue (R-GA)|$66,300|CVX|Chevron Corp|||
John Boozman (R-AR)|$66,200|JNJ|Johnson & Johnson|||
John Hoeven (R-ND)|$66,200|EXC|Exelon Corporation|||
Sheldon Whitehouse (D-RI)|$66,200|VGHCX|Vanguard Health Care Inv Fund|||
Gary Peters (D-MI)|$66,100|INTC|INTC-Intel Corp|||
Ben Cardin (D-MD)|$66,100|VNQ|Vanguard REIT ETF|||
Shelley Moore Capito (R-WV)|$65,900|ADI|Analog Devices, Inc.|Technology|Semiconductors|
Joni Ernst (R-IA)|$65,700|VAFNX|Invesco American Franchise Fund|||
Kamala Harris (D-CA)|$65,700|FDN|First Trust Dow Jones Internet ETF|||
Mitch McConnell (R-KY)|$65,500|MNNAX|Victory Munder Growth Opportunities|||
Rob Portman (R-OH)|$65,400|VOX|Vanguard Telecommunication Services ETF|||
Dianne Feinstein (D-CA)|$65,200|CB|Chubb Corp|||
Shelley Moore Capito (R-WV)|$64,900|ES|Eversource Energy|||
Shelley Moore Capito (R-WV)|$64,800|CSCO|Cisco Systems, Inc.|Technology|Computer Communications Equipment|
John Boozman (R-AR)|$64,600|EMC|EMC Corp. Mass EMC|||
John Hoeven (R-ND)|$64,600|GOOG|Alphabet Inc.|Technology|Computer Software: Programming, Data Processing|
John Hoeven (R-ND)|$64,400|CVX|Chevron Corp|||
Chuck Grassley (R-IA)|$64,200|TEFRX|Templeton Foreign Fund|||
Shelley Moore Capito (R-WV)|$64,200|PEP|Pepsico Inc|||
Angus King (D-ME)|$64,100|TJX|TJX Companies|||
Mazie K Hirono (D-HI)|$64,100|OPGIX|Oppenheimer Global A (NASDAQ)|||
Gary Peters (D-MI)|$64,000|TFC|BB&T Corp|||
Sheldon Whitehouse (D-RI)|$63,800|QQQ|Power Shares QQQ Trust|||
Rob Portman (R-OH)|$63,400|DCMSX|DFA Commodity Strategy Fund|||
Gary Peters (D-MI)|$63,400|MDLZ|Kraft Foods|||
Pat Roberts (R-KS)|$63,300|MSFT|Microsoft Corp|||
Sheldon Whitehouse (D-RI)|$63,200|COV|Covidien PLC|||
Sheldon Whitehouse (D-RI)|$63,200|BMY|Bristol-Myers Squibb|||
Michael Bennet (D-CO)|$63,000|VIIIX|Vanguard Institutional Index|||
Rand Paul (R-KY)|$62,800|VFIAX|Vanguard 500 Index Admiral Fund|||
Angus King (D-ME)|$62,600|JNJ|Johnson & Johnson|||
Angus King (D-ME)|$62,500|PEP|Pepsico Inc|||
John Boozman (R-AR)|$62,500|EBAY|Ebay Inc|||
Kamala Harris (D-CA)|$62,400|TPLGX|T Rowe Price Instl Large Cap Core Gr|||
Mike Enzi (R-WY)|$62,400|VFINX|VFINX - Vanguard 500 Index Inv (NASDAQ)|||
Thad Cochran (R-MS)|$62,300|KR|Kroger Co|||
Ted Cruz (R-TX)|$62,000|GGOIX|Goldman Sachs Growth Opportunities Institutional|||
Barbara A Mikulski (D-MD)|$62,000|PRWCX|T Rowe Price Capital Appreciation|||
Pat Toomey (R-PA)|$61,900|GLD|SPDR Gold Shares ETF|||
Bob Casey (D-PA)|$61,800|FBGRX|Fidelity Blue Chip Growth|||
Tom Carper (D-DE)|$61,600|FNIAX|Fidelity Advisor New Insights Fund|||
Lindsey Graham (R-SC)|$61,500|VMRGX|Vanguard Morgan Growth Inv|||
Bernie Sanders (D-VT)|$61,500|VCSRX|Valic Socially Resp Fund|||
Pat Roberts (R-KS)|$61,400|JPM|JPMorgan Chase & Co|||
Pat Toomey (R-PA)|$61,200|PPL|PPL|||
James Lankford (R-OK)|$61,100|ICSFX|Invesco Comstock Fund|||
David Perdue (R-GA)|$60,900|KMI|Kinder Morgan|||
John Hoeven (R-ND)|$60,900|VDIGX|Vanguard Dividend Growth Fund|||
Sheldon Whitehouse (D-RI)|$60,800|CSCO|Cisco Systems, Inc.|Technology|Computer Communications Equipment|
Shelley Moore Capito (R-WV)|$60,800|WMT|Wal-Mart Stores|||
Roger Wicker (R-MS)|$60,700|ALTFX|AllianceBern Global Thematic Gr|||
Sheldon Whitehouse (D-RI)|$60,200|C|Citigroup Common Stock Fund|||
Tom Udall (D-NM)|$59,900|RPAI|Retail Properties of America|||
David Perdue (R-GA)|$59,900|PAGP|Plains GP Holdings|||
Sheldon Whitehouse (D-RI)|$59,800|TJX|TJX Companies|||
Tammy Duckworth (D-IL)|$59,800|SDY|SDY-SPDR S&P Dividend ETF|||
Bernie Sanders (D-VT)|$59,700|VCSMX|Valic Small Cap Fund|||
Susan Collins (R-ME)|$59,700|TSCO|Tractor Supply Company|||
Ben Cardin (D-MD)|$59,600|TLT|iShares 20+ Year Treasury Bond|||
David Perdue (R-GA)|$59,600|NFLX|Netflix Inc|||
John Boozman (R-AR)|$59,500|SHY|iShares 1-3 Year Treasury Bond ETF|||
Chris Coons (D-DE)|$59,300|OSCYX|Oppenheimer Main Street Small Cap Fund|||
Lindsey Graham (R-SC)|$59,300|VDADX|Vanguard Dividend Apprec Index|||
David Perdue (R-GA)|$59,300|KN|Knowles Corp|||
Roger Wicker (R-MS)|$59,200|WMT|Wal-Mart Stores|||
Dianne Feinstein (D-CA)|$59,200|HASI|Hannon Armstrong Sustainable Infrastructure|||
Mitch McConnell (R-KY)|$59,000|TMCPX|Touchstone Mid Cap Y|||
Thad Cochran (R-MS)|$59,000|QCOM|Qualcomm Inc|||
Shelley Moore Capito (R-WV)|$58,900|ADP|Automatic Data Processing, Inc.|Technology|EDP Services|
David Perdue (R-GA)|$58,800|PYPL|PayPal Holdings|||
Tim Kaine (D-VA)|$58,800|IBM|IBM Corp|||
Jerry Moran (R-KS)|$58,800|MITTX|MFS Massachusetts Investors Trust|||
Rob Portman (R-OH)|$58,700|IXP|iShares Global Telecom|||
Thad Cochran (R-MS)|$58,700|NSRGY|Nestle|||
Tom Carper (D-DE)|$58,500|CSCO|Cisco Systems, Inc.|Technology|Computer Communications Equipment|
Gary Peters (D-MI)|$58,400|CSQ|Calamos Strategic Total Return Fund|||
David Perdue (R-GA)|$58,200|VLO|Valero Energy|||
Thad Cochran (R-MS)|$58,200|OHI|Omega Healthcare Investors|||
Gary Peters (D-MI)|$57,900|GIS|General Mills|||
Jerry Moran (R-KS)|$57,700|AMECX|Income Fund of America|||
Sheldon Whitehouse (D-RI)|$57,700|ANCFX|American Funds Fundamental Investors Fd|||
Sheldon Whitehouse (D-RI)|$57,600|BABA|Alibaba Group Holding Limited|Miscellaneous|Business Services|
Joe Manchin (D-WV)|$57,600|DFLVX|Charles Schwab Accounts - DFA US Large Cap Value|||
Mark Warner (D-VA)|$57,600|MIPTX|Matthews Pacific Tiger Fund|||
Susan Collins (R-ME)|$57,500|RHHBY|Roche Holding AG|||
Tom Carper (D-DE)|$57,400|HON|Honeywell International|||
Chris Coons (D-DE)|$57,100|OSMNX|Oppenheimer International Small Co N|||
David Perdue (R-GA)|$56,900|PRU|Prudential Financial|||
Susan Collins (R-ME)|$56,900|DNKN|Dunkin' Brands Group, Inc.|||
Mark Warner (D-VA)|$56,800|AAPIX|Aberdeen Asia Pacific Ex Japan|||
John Hoeven (R-ND)|$56,600|VSGAX|Vanguard Small Cap Growth Index|||
Tom Carper (D-DE)|$56,500|DUK|Duke Energy|||
Chuck Grassley (R-IA)|$56,500|PEEAX|Prudential Jennison Mid Cap Growth Fund|||
Rob Portman (R-OH)|$56,400|NVG|Nuveen Dividend Advantage Munic Fund|||
Shelley Moore Capito (R-WV)|$56,200|ACN|Accenture plc|Miscellaneous|Business Services|
Tom Udall (D-NM)|$56,200|MSIGX|Oppenheimer Main Street Fund|||
John Hoeven (R-ND)|$56,100|VBK|Vanguard Small Cap Fund|||
Gary Peters (D-MI)|$55,900|VOO|Vanguard 500 Index|||
David Perdue (R-GA)|$55,800|DFUSX|DFA US Large Co Fund|||
Susan Collins (R-ME)|$55,800|UNH|Unitedhealth Group|||
Ben Cardin (D-MD)|$55,700|IJJ|iShares S&P Mid Cap 400 Value Index|||
Richard Burr (R-NC)|$55,700|MDLZ|Kraft Foods|||
Gary Peters (D-MI)|$55,700|SPY|S&P 500 EFT|||
Jack Reed (D-RI)|$55,600|DHR|Danaher Corp|||
Shelley Moore Capito (R-WV)|$55,600|NSC|Norfolk Southern|||
Gary Peters (D-MI)|$55,400|SVSPX|SSGA S&P 500 Index|||
Joe Manchin (D-WV)|$55,300|DFALX|DFA Large Cap International I|||
Shelley Moore Capito (R-WV)|$55,300|PFE|Pfizer Inc|||
Gary Peters (D-MI)|$55,200|BAC|Bank of America|||
Angus King (D-ME)|$55,200|KMB|Kimberly-Clark Corp|||
Chris Coons (D-DE)|$55,200|ICSFX|Invesco Comstock Fund|||
Steve Daines (R-MT)|$55,100|NWHVX|Nationwide Geneva Mid Cap Growth InSvc|||
Pat Toomey (R-PA)|$54,900|XEL|Xcel Energy Inc.|||
Steve Daines (R-MT)|$54,900|RAEBX|American Funds AMCAP Fund|||
Sheldon Whitehouse (D-RI)|$54,800|AKAM|Akamai Technologies, Inc.|Miscellaneous|Business Services|
Steve Daines (R-MT)|$54,800|COFRX|Columbia Contrarian Core Fund|||
John Boozman (R-AR)|$54,700|KHC|The Kraft Heinz Company|||
John Boozman (R-AR)|$54,600|GD|General Dynamics|||
Ben Cardin (D-MD)|$54,600|EMB|iShares JPMorgan USD Emerging Markets|||
Sheldon Whitehouse (D-RI)|$54,600|RJF|Raymond James Financial|||
Angus King (D-ME)|$54,500|MINIX|MFS International Value Fund|||
Joni Ernst (R-IA)|$54,400|RPEBX|American Funds New Perspective Fund|||
Shelley Moore Capito (R-WV)|$54,300|GD|General Dynamics|||
Mike Rounds (R-SD)|$54,200|VHT|Vanguard World Vanguard Health Care|||
Mike Rounds (R-SD)|$54,200|VBK|Vanguard Small Cap Fund|||
Pat Roberts (R-KS)|$54,200|COST|Costco Wholesale|||
Rob Portman (R-OH)|$54,200|GPGIX|Grandeur Peak Global Opportunities Fund|||
Ben Sasse (R-NE)|$54,100|VWNDX|Vanguard Windsor Fund|||
John Boozman (R-AR)|$54,000|TJX|TJX Companies|||
Pat Roberts (R-KS)|$53,900|CVX|Chevron Corp|||
Thad Cochran (R-MS)|$53,900|ASH|Ashland Inc|||
Mitch McConnell (R-KY)|$53,800|YAFIX|AMG Yacktman Focused Fund|||
Chuck Grassley (R-IA)|$53,700|NBGNX|Neuberger Berman Genesis Fund|||
Lindsey Graham (R-SC)|$53,700|NBGNX|Neuberger Berman Genesis Fund|||
Thad Cochran (R-MS)|$53,700|KKR|KKR & Co|||
Gary Peters (D-MI)|$53,600|MRK|Merck & Co|||
Tom Carper (D-DE)|$53,600|CONE|CyrusOne|||
Gary Peters (D-MI)|$53,400|JNJ|Johnson & Johnson|||
Pat Toomey (R-PA)|$53,400|GE|GE Capital|||
Ed Markey (D-MA)|$53,400|TFFYX|TFFYX - Touchstone Focused Y (NASDAQ)|||
Gary Peters (D-MI)|$53,300|WMT|Wal-Mart Stores|||
Bill Cassidy (R-LA)|$53,200|AAPL|Apple Inc.|Technology|Computer Manufacturing|
Ted Cruz (R-TX)|$53,100|VNQ|Vanguard REIT ETF|||
Ed Markey (D-MA)|$52,900|FSMAX|Spartan Extended Market Index Advantage Class Mutu|||
Roger Wicker (R-MS)|$52,700|PEYAX|Putnam Fund for Growth & Income Fund|||
Kamala Harris (D-CA)|$52,600|XLY|Consumer Discret Sel Sect SPDR ETF|||
James M Inhofe (R-OK)|$52,300|AMGN|Amgen Inc.|Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|
Angus King (D-ME)|$52,200|IWO|iShares Russell 2000 Growth Fund|||
Tom Carper (D-DE)|$52,200|GLD|SPDR Gold Shares ETF|||
Mark Warner (D-VA)|$52,200|OIEIX|JPM Equity Income Fund - Sel|||
Shelley Moore Capito (R-WV)|$52,000|JPM|JPMorgan Chase & Co|||
John Boozman (R-AR)|$52,000|TLH|iShares Tr Barclays 10-20 Yr|||
Jerry Moran (R-KS)|$51,700|BA|Boeing Co|||
Joe Manchin (D-WV)|$51,700|DFSTX|DFA US Small Cap Fund|||
Susan Collins (R-ME)|$51,600|AME|AMTEK, Inc.|Consumer Durables|Metal Fabrications|
Sheldon Whitehouse (D-RI)|$51,500|AXP|American Express Company|Finance|Finance: Consumer Services|
David Perdue (R-GA)|$51,500|HON|Honeywell International|||
Angus King (D-ME)|$51,300|FBNRX|Templeton Global Bond Fund|||
Shelley Moore Capito (R-WV)|$51,300|T|AT&T Inc|||
Dianne Feinstein (D-CA)|$51,300|ADSW|Advanced Disposal Services, Inc.|Public Utilities|Environmental Services|
Lindsey Graham (R-SC)|$51,000|YACKX|AMG Yacktman Service Fund|||
Susan Collins (R-ME)|$51,000|JPM|JPMorgan Chase & Co|||
Lindsey Graham (R-SC)|$50,800|RYTRX|Royce Total Return Invmt Fund|||
Ben Sasse (R-NE)|$50,800|VEA|Vanguard FTSE Developed Markets ETF|||
Ben Cardin (D-MD)|$50,700|DDF|Delaware Investments Dividend & Income Fund|||
John Hoeven (R-ND)|$50,500|OAKMX|OAKMX - Oakmark I (NASDAQ)|||
Kamala Harris (D-CA)|$50,500|XLV|Health Care Sel Sect Spdr Fund|||
Susan Collins (R-ME)|$50,300|CME|CME Group Inc.|Finance|Investment Bankers/Brokers/Service|
Steve Daines (R-MT)|$50,200|RWEBX|American Funds Washington Mutual Fund|||
Ted Cruz (R-TX)|$50,100|VFORX|Vanguard Target Retirement 2040|||
Kamala Harris (D-CA)|$50,100|FRC|First Republic Bank|||
Steve Daines (R-MT)|$50,100|MQGIX|MFS International Growth I|||
Tom Carper (D-DE)|$50,000|CEF|Sprott Physical Gold and Silver Trust|||
Chuck Schumer (D-NY)|$50,000|TCNIX|TIAA Acc Lifecycle 2015 T1|||
Sheldon Whitehouse (D-RI)|$49,900|BAF|BlackRock Inc|||
Sheldon Whitehouse (D-RI)|$49,900|ACN|Accenture plc|Miscellaneous|Business Services|
Dianne Feinstein (D-CA)|$49,900|NMRD|Nemaura Medical Inc|||
Ben Cardin (D-MD)|$49,800|JNK|JNK-SPDR Barclays High Yield Bond ETF|||
Tom Udall (D-NM)|$49,700|MWEIX|MFS International Large Cap Fund|||
Gary Peters (D-MI)|$49,700|PG|Procter & Gamble|||
Bernie Sanders (D-VT)|$49,600|VMIDX|Valic Mid Cap Index Fund|||
James M Inhofe (R-OK)|$49,500|DAL|Delta Air Lines, Inc.|||
Roger Wicker (R-MS)|$49,500|AMZN|Amazon.com, Inc.|Consumer Services|Catalog/Specialty Distribution|
Rand Paul (R-KY)|$49,400|UIPMX|USAA Precious Metals & Minerals|||
Tom Carper (D-DE)|$49,400|MDY|SPDR S&P Mid Cap 400 ETF|||
Brian Schatz (D-HI)|$49,300|MASSX|Mutual of America Small Cap Growth Institutional|||
Gary Peters (D-MI)|$49,200|MDT|Medtronic Inc|||
James M Inhofe (R-OK)|$49,200|ABT|Abbott Laboratories|Health Care|Major Pharmaceuticals|
Ted Cruz (R-TX)|$49,200|GHYIX|Goldman Sachs High Yield Muni Institutional|||
John Hoeven (R-ND)|$49,100|MPC|Marathon Petroleum Corporation|||
Gary Peters (D-MI)|$49,100|SDY|SDY-SPDR S&P Dividend ETF|||
Sheldon Whitehouse (D-RI)|$49,000|XLV|Health Care Sel Sect Spdr Fund|||
Michael Bennet (D-CO)|$49,000|VTHRX|Vanguard Target Retirement 2030 Inv|||
Tom Udall (D-NM)|$49,000|EKWAX|Wells Fargo Advantage Precious Metals|||
Shelley Moore Capito (R-WV)|$49,000|BLK|BlackRock, Inc.|||
Tom Udall (D-NM)|$48,900|LCLIX|Clearbridge Large Cap Value Fund|||
Catherine Cortez Masto (D-NV)|$48,700|VLAAX|Value Line Asset Allocation Investor|||
Mike Rounds (R-SD)|$48,700|VO|Vanguard Mid-Cap ETF|||
Angus King (D-ME)|$48,600|PAAIX|Pimco All Asset Institutional Fund|||
Susan Collins (R-ME)|$48,500|NEE|NextEra Energy|||
Chris Coons (D-DE)|$48,400|HIAOX|Hartford International Opp HLS|||
Ben Sasse (R-NE)|$48,400|MGV|Vanguard Mega Cap Value ETF|||
David Perdue (R-GA)|$48,400|GOOG|Alphabet Inc.|Technology|Computer Software: Programming, Data Processing|
James M Inhofe (R-OK)|$48,300|CRM|salesforce.com, inc.|||
Ron Wyden (D-OR)|$48,300|JEMWX|jp morgan emerging markets fund|||
Angus King (D-ME)|$48,200|DIS|The Walt Disney Co|||
Tom Carper (D-DE)|$48,200|MILGX|Mirae Emerging Markets Fund|||
Pat Toomey (R-PA)|$48,100|DD|DowDuPont Inc|||
Shelley Moore Capito (R-WV)|$48,100|BDX|Becton, Dickinson and Company|||
Chuck Grassley (R-IA)|$47,900|MMUFX|MFS Utilities Fund|||
Thad Cochran (R-MS)|$47,900|HDS|HD Supply Holdings|||
Kamala Harris (D-CA)|$47,900|IBB|iShares Nasdaq Biotechnology ETF|||
Gary Peters (D-MI)|$47,800|VAFNX|Invesco American Franchise Fund|||
David Perdue (R-GA)|$47,600|NWSA|News Corporation|||
Sheldon Whitehouse (D-RI)|$47,500|BRK-B|Berkshire Hathaway Inc.|||
John Boozman (R-AR)|$47,400|EMLP|First TR Exchange Traded FD IV No Amer Energy|||
Chuck Grassley (R-IA)|$47,300|AFB|Alliance National Municipal Income Fund Inc|||
Mike Rounds (R-SD)|$47,300|VT|Vanguard World Vanguard Finls ETF|||
Ben Cardin (D-MD)|$47,200|VEA|Vanguard FTSE Developed Markets ETF|||
Jeanne Shaheen (D-NH)|$47,200|GWETX|GWETX - AMG GW&K Small Cap Core Inv (NASDAQ)|||
Steve Daines (R-MT)|$47,200|RAMHX|American Funds American Balanced Fund|||
Ben Sasse (R-NE)|$47,200|VWO|Vanguard Emerging Markets ETF|||
Sheldon Whitehouse (D-RI)|$47,000|CWGIX|American Cap World Growth Income Fund|||
Angus King (D-ME)|$47,000|OAKIX|Oakmark International Fund|||
David Perdue (R-GA)|$47,000|DODGX|Dodge & Cox Stock Fund|||
Gary Peters (D-MI)|$47,000|DODGX|Dodge & Cox Stock Fund|||
Ben Sasse (R-NE)|$47,000|MBB|Barclay Mbs Bond|||
Ed Markey (D-MA)|$46,900|JORNX|Janus Global Select Class T Mutual Fund|||
Barbara A Mikulski (D-MD)|$46,900|TRMCX|T Rowe Price Mid Cap Value Fund|||
Kelly Loeffler (R-GA)|$46,800|PRU|Prudential Financial|||
David Perdue (R-GA)|$46,700|TRP|TC Energy Corporation|||
Susan Collins (R-ME)|$46,700|SBUX|Starbucks Corp|||
Gary Peters (D-MI)|$46,400|KMB|Kimberly-Clark Corp|||
Ben Cardin (D-MD)|$46,300|LQD|iShares iBoxx $ Invmt Grade Corp Bd ETF|||
Amy Klobuchar (D-MN)|$46,300|FOSFX|Fidelity Overseas Fund|||
Dick Durbin (D-IL)|$46,300|SPLV|PowerShares S&P 500 Low Volatility ETF|||
Pat Roberts (R-KS)|$46,200|EXG|Eaton Vance Tax-Managed Global Diversified Equity|||
Chuck Grassley (R-IA)|$46,100|SVAIX|Federated Strategic Value Dividend Institutional|||
Shelley Moore Capito (R-WV)|$46,100|SYY|Sysco Corp|||
Shelley Moore Capito (R-WV)|$46,000|FDS|FactSet Research Systems Inc|||
Angus King (D-ME)|$45,700|MMM|3M Company|Health Care|Medical/Dental Instruments|
David Perdue (R-GA)|$45,700|ABBV|AbbVie Inc.|Health Care|Major Pharmaceuticals|
Pat Toomey (R-PA)|$45,600|CVX|Chevron Corp|||
Mike Rounds (R-SD)|$45,600|IAU|iShares Gold Trust|||
Richard Burr (R-NC)|$45,600|L|Loews Corp|||
Gary Peters (D-MI)|$45,400|MDY|SPDR S&P Mid Cap 400 ETF|||
Shelley Moore Capito (R-WV)|$45,300|EAD|Wells Fargo Income Opportunities Fund|||
Ron Wyden (D-OR)|$45,300|VOHIX|Vanguard OH Long Term Tax Exempt|||
Gary Peters (D-MI)|$45,200|PESPX|Dreyfus MidCap Index|||
Jerry Moran (R-KS)|$45,100|BRK-B|Berkshire Hathaway Inc.|||
Gary Peters (D-MI)|$45,100|CAG|CAG - ConAgra Foods Inc|||
Richard Blumenthal (D-CT)|$45,000|MAPTX|Mathews Intl Fds Pac Tiger Fd Mutual Fund|||
Lamar Alexander (R-TN)|$45,000|MLPEX|Oppenheimer SteelPath MLP Select 40 Fund|||
Rob Portman (R-OH)|$45,000|XLE|Energy Select Sector SPDR ETF|||
John Hoeven (R-ND)|$44,900|KMI|Kinder Morgan|||
Barbara A Mikulski (D-MD)|$44,800|TRREX|T Rowe Price Real Estate|||
Sheldon Whitehouse (D-RI)|$44,800|INTC|INTC-Intel Corp|||
Doug Jones (D-AL)|$44,800|UMLGX|Columbia Select Large Cap Growth Z|||
Angus King (D-ME)|$44,800|ECEIX|Lazard Emerging Markets Core Equity Fund|||
John Boozman (R-AR)|$44,800|STX|Seagate Technology|||
Sheldon Whitehouse (D-RI)|$44,700|COST|Costco Wholesale|||
Sheldon Whitehouse (D-RI)|$44,700|MA|Mastercard Inc|||
Mazie K Hirono (D-HI)|$44,700|PRFDX|T Rowe Price Equity Income|||
Mike Enzi (R-WY)|$44,700|PRFDX|T Rowe Price Equity Income|||
David Perdue (R-GA)|$44,600|V|Visa Inc|||
Chuck Grassley (R-IA)|$44,600|JVLIX|John Hancock Disciplined Value Fund|||
Sheldon Whitehouse (D-RI)|$44,600|JVLIX|John Hancock Disciplined Value Fund|||
Doug Jones (D-AL)|$44,500|ELGAX|Columbia Select Large Cap Growth Fund|||
Thad Cochran (R-MS)|$44,400|ACESX|Invesco Equity & Income Fund|||
Shelley Moore Capito (R-WV)|$44,300|LCLIX|Clearbridge Large Cap Value Fund|||
Shelley Moore Capito (R-WV)|$44,200|TGT|Target Corp|||
Shelley Moore Capito (R-WV)|$44,200|CL|Colgate-Palmolive Co|||
David Perdue (R-GA)|$44,100|SU|Suncor Energy Inc.|||
Angus King (D-ME)|$44,000|CB|Chubb Corp|||
