Senator|Estimated Holdings|Symbol|Company|Sector|Industry|
Kelly Loeffler (R-GA)|$517,700|DFS|Discover Financial Services|||
David Perdue (R-GA)|$513,800|GSFRX|Goldman Sachs High Yield Fl Rate Institutional|||
John Boozman (R-AR)|$510,200|MBB|Barclay Mbs Bond|||
Mitch McConnell (R-KY)|$505,100|VSIAX|Vanguard Small Cap Value Index Admiral|||
Patty Murray (D-WA)|$503,900|FFFDX|Fidelity Freedom K 2020|||
John Hoeven (R-ND)|$502,600|YUM|Yum! Brands|||
David Perdue (R-GA)|$495,500|PODCX|Portfolio Growth Optimization|||
John Hoeven (R-ND)|$491,100|MCHP|Microchip Technology|||
David Perdue (R-GA)|$488,600|GS|Goldman Sachs|||
Dianne Feinstein (D-CA)|$481,300|NVS|Novartis AG|||
Susan Collins (R-ME)|$479,600|BMGAX|BlackRock Mid-Cap Growth Equity Inv|||
John Hoeven (R-ND)|$479,100|KO|Coca-Cola Co|||
Kamala Harris (D-CA)|$468,800|EZU|iShares MSCI Eurozone ETF|||
John Hoeven (R-ND)|$465,200|FCNTX|FCNTX - Fidelity Contrafund (NASDAQ)|||
Thom Tillis (R-NC)|$462,900|IWD|iShares Russell 1000 Value ETF|||
Steve Daines (R-MT)|$458,600|HABDX|Harbor Bond Institutional|||
John Barrasso (R-WY)|$450,700|VAIPX|Vanguard Inflation-Protected Secs Adm Fund|||
Catherine Cortez Masto (D-NV)|$446,200|VINIX|VINIX - Vanguard Institutional Index I (NASDAQ)|||
David Perdue (R-GA)|$440,600|AMZN|Amazon.com, Inc.|Consumer Services|Catalog/Specialty Distribution|
Maggie Hassan (D-NH)|$436,300|VTXVX|Vanguard Target Retirement 2015 Inv|||
Amy Klobuchar (D-MN)|$435,200|VSGAX|Vanguard Small Cap Growth Index|||
Sheldon Whitehouse (D-RI)|$430,000|AMZN|Amazon.com, Inc.|Consumer Services|Catalog/Specialty Distribution|
Rand Paul (R-KY)|$420,600|VAIPX|Vanguard Inflation-Protected Secs Adm Fund|||
Mitch McConnell (R-KY)|$419,200|TRBCX|T Rowe Price Blue Chip Growth|||
