Senator,Estimated Holdings,Symbol,Company,Sector,Industry,P,S
John Hoeven (R-ND),38600,SLB,Schlumberger Ltd,Health Care,Medical/Dental Instruments,R,ND
Gary Peters (D-MI),38400,MMM,3M Company,Health Care,Medical/Dental Instruments,D,MI
Mitch McConnell (R-KY),38400,SJNK,SPDR Barclays Short Term Corp Bond ETF,Miscellaneous,Business Services,R,KY
Angus King (D-ME),38300,USB,U.S. Bancorp,Miscellaneous,Business Services,D,ME
Thom Tillis (R-NC),38300,VWITX,Vanguard Interm-Term Tx-Ex Inv,Miscellaneous,Business Services,R,NC
Mark Warner (D-VA),38300,ABRCX,Invesco Balanced Risk Allocation Fund,Miscellaneous,Business Services,D,VA
Ben Cardin (D-MD),38200,ECMDX,Eaton Vance MD Municipal Income Fund,Miscellaneous,Business Services,D,MD
Gary Peters (D-MI),38100,CL,Colgate-Palmolive Co,Miscellaneous,Business Services,D,MI
James M Inhofe (R-OK),38000,DISCA,Discovery Communications,Miscellaneous,Business Services,R,OK
Susan Collins (R-ME),38000,AKAM,"Akamai Technologies, Inc.",Miscellaneous,Business Services,R,ME
Sheldon Whitehouse (D-RI),38000,VDC,Vanguard Consumer Staples ETF,Technology,Computer Manufacturing,D,RI
Thad Cochran (R-MS),37900,VILLX,Villere Balanced Inv (NASDAQ),Technology,Computer Manufacturing,R,MS
Mike Rounds (R-SD),37900,VWO,Vanguard Emerging Markets ETF,Technology,Computer Manufacturing,R,SD
Rob Portman (R-OH),37800,BGT,BlackRock Floating Rate Income Fund,Technology,Computer Manufacturing,R,OH
Sheldon Whitehouse (D-RI),37800,GJRTX,Goldman Sachs Abslt Ret Trck Fund,Technology,Computer Manufacturing,D,RI
Ben Cardin (D-MD),37700,IGSB,iShares 1-3 Year Credit Bond ETF,Technology,Computer Manufacturing,D,MD
Angus King (D-ME),37700,IWN,iShares Russell 2000 Value Index,Technology,Computer Manufacturing,D,ME
Steve Daines (R-MT),37700,ARTQX,Artisan Mid Cap Value Investor,Technology,Computer Manufacturing,R,MT
John Hoeven (R-ND),37600,WFC,Wells Fargo,Technology,Computer Manufacturing,R,ND
Lisa Murkowski (R-AK),37500,SCHF,Schwab International Equity ETF,Technology,Computer Manufacturing,R,AK
Mark Warner (D-VA),37400,ARBFX,Arbitrage Funds,Technology,Computer Manufacturing,D,VA
Tom Carper (D-DE),37300,PWBAX,Virtus AlphaSector Rotation,Technology,Computer Manufacturing,D,DE
Gary Peters (D-MI),37300,BK,Bank of New York Mellon,Technology,Computer Manufacturing,D,MI
Rob Portman (R-OH),37200,JMNSX,JPM Research Market Neutral Fund,Technology,Computer Manufacturing,R,OH
David Perdue (R-GA),37200,DFEMX,DFA Emerging Markets PORT Institutional Fund,Technology,Computer Manufacturing,R,GA
Shelley Moore Capito (R-WV),37100,PG,Procter & Gamble,Technology,Computer Manufacturing,R,WV
Kamala Harris (D-CA),37100,XLF,Financial Select Sector SPDR ETF,Technology,Computer Manufacturing,D,CA
David Perdue (R-GA),37000,BAH,Booz Allen Hamilton Holding Corporation,Technology,Computer Manufacturing,R,GA
Sheldon Whitehouse (D-RI),37000,EFA,Equity Investments MSCI EAFE,Technology,Computer Manufacturing,D,RI
Kamala Harris (D-CA),37000,HYG,iShares iBoxx $ High Yield Corp Bd ETF,Technology,Computer Manufacturing,D,CA
Gary Peters (D-MI),37000,UPS,United Parcel Service,Technology,Computer Manufacturing,D,MI
Tom Carper (D-DE),36900,TCEHY,Tencent Holdings Limited,Technology,Computer Manufacturing,D,DE
Tom Carper (D-DE),36900,WBA,Walgreen Co,Technology,Computer Manufacturing,D,DE
David Perdue (R-GA),36900,PSXP,Phillips 66 Partners LP,Technology,Computer Manufacturing,R,GA
Mark Warner (D-VA),36700,JSDUX,JPM Short Duration Bond Fund,Technology,Computer Manufacturing,D,VA
Rob Portman (R-OH),36700,DFIEX,DFA International Core Equity,Technology,Computer Manufacturing,R,OH
Mitch McConnell (R-KY),36700,RSPYX,RSPYX - RS Partners Y (NASDAQ)Filer comment: Share,Technology,Computer Manufacturing,R,KY
Jerry Moran (R-KS),36700,AAPL,Apple Inc.,Technology,Computer Manufacturing,R,KS
John Hoeven (R-ND),36700,ABBV,AbbVie Inc.,Health Care,Major Pharmaceuticals,R,ND
Sheldon Whitehouse (D-RI),36700,LSIFX,ClearBridge Aggressive Growth Fund,Technology,Computer Manufacturing,D,RI
John Hoeven (R-ND),36700,DD,DowDuPont Inc,Technology,Computer Manufacturing,R,ND
Mark Warner (D-VA),36700,GARIX,Gotham Absolute Return Fund,Technology,Computer Manufacturing,D,VA
Susan Collins (R-ME),36600,DBPIX,DWS Ultra Short Duration Svc Fund,Technology,Computer Manufacturing,R,ME
Tom Udall (D-NM),36600,CFWCX,Calvert Global Water,Technology,Computer Manufacturing,D,NM
Sheldon Whitehouse (D-RI),36500,PRWBX,T Rowe Price Short-Term Bond,Technology,Computer Manufacturing,D,RI
Thad Cochran (R-MS),36400,AAPL,Apple Inc.,Technology,Computer Manufacturing,R,MS
Susan Collins (R-ME),36200,RTX,United Technologies,Technology,Semiconductors,R,ME
David Perdue (R-GA),36200,GMOIX,GMO International Equity III,Technology,Semiconductors,R,GA
Tom Carper (D-DE),36200,PSEC,Prospect Capital Corp,Technology,Semiconductors,D,DE
Michael Bennet (D-CO),36200,VGK,Vanguard European Stock Index,Technology,Semiconductors,D,CO
Rob Portman (R-OH),36200,VGK,Vanguard European Stock Index,Technology,Semiconductors,R,OH
Dianne Feinstein (D-CA),36200,FDX,FedEx Corp,Technology,Semiconductors,D,CA
Sheldon Whitehouse (D-RI),36100,DEO,Diageo Plc,Technology,Semiconductors,D,RI
Gary Peters (D-MI),36100,RIBEX,American Funds Investment Co of America,Technology,Semiconductors,D,MI
Mike Enzi (R-WY),36100,TEQIX,Mutual Quest Fund,Technology,Semiconductors,R,WY
Tom Carper (D-DE),36100,SMG,The Scotts Miracle-Gro Company,Technology,Semiconductors,D,DE
Jack Reed (D-RI),36000,AMAT,"Applied Materials, Inc.",Technology,Semiconductors,D,RI
Pat Toomey (R-PA),36000,SHY,iShares 1-3 Year Treasury Bond ETF,Health Care,Medical/Dental Instruments,R,PA
Chris Coons (D-DE),35900,OIBNX,Oppenheimer International Bond,Health Care,Medical/Dental Instruments,D,DE
Steve Daines (R-MT),35900,OIBNX,Oppenheimer International Bond,Health Care,Medical/Dental Instruments,R,MT
Thad Cochran (R-MS),35800,CVS,CVS Health,Health Care,Medical/Dental Instruments,R,MS
Susan Collins (R-ME),35800,DAL,"Delta Air Lines, Inc.",Health Care,Medical/Dental Instruments,R,ME
Steve Daines (R-MT),35500,FTGFX,Templeton Growth Fund,Health Care,Medical/Dental Instruments,R,MT
Sheldon Whitehouse (D-RI),35300,DLR,"Digital Realty Trust, Inc.",Health Care,Medical/Dental Instruments,D,RI
Gary Peters (D-MI),35300,PPG,PPG Industries,Health Care,Medical/Dental Instruments,D,MI
Joe Manchin (D-WV),35200,DFGFX,DFA Two-Year Global Fixed Income Fund,Health Care,Medical/Dental Instruments,D,WV
David Perdue (R-GA),35200,LBFAX,Loomis Sayles Bond Fund,Health Care,Medical/Dental Instruments,R,GA
Susan Collins (R-ME),35100,USB,U.S. Bancorp,Health Care,Medical/Dental Instruments,R,ME
Tina Smith (D-MN),35100,ZBH,Zimmer Biomet,Health Care,Medical/Dental Instruments,D,MN
Gary Peters (D-MI),35100,DD,DowDuPont Inc,Health Care,Medical/Dental Instruments,D,MI
Mike Enzi (R-WY),35100,TEMWX,TEMWX - Templeton World A (NASDAQ),Health Care,Medical/Dental Instruments,R,WY
Maggie Hassan (D-NH),35100,TICHX,CREF Social Choice Account,Health Care,Medical/Dental Instruments,D,NH
Kamala Harris (D-CA),35000,EMLC,EMLC - VanEck Vectors JP Morgan EM LC Bd ETF,Health Care,Medical/Dental Instruments,D,CA
Tom Carper (D-DE),35000,VZ,Verizon Communications,Health Care,Medical/Dental Instruments,D,DE
Tom Carper (D-DE),35000,ARCC,Ares Capital Corporation,Health Care,Medical/Dental Instruments,D,DE
Tom Carper (D-DE),34900,MMM,3M Company,Health Care,Medical/Dental Instruments,D,DE
Bill Cassidy (R-LA),34900,YACKX,AMG Yacktman Service Fund,Public Utilities,Oil/Gas Transmission,R,LA
Thad Cochran (R-MS),34800,JPM,JPMorgan Chase & Co,Public Utilities,Oil/Gas Transmission,R,MS
David Perdue (R-GA),34700,XOM,Exxon Mobil,Public Utilities,Oil/Gas Transmission,R,GA
Sheldon Whitehouse (D-RI),34700,FCNKX,Fidelity Contrafund,Public Utilities,Oil/Gas Transmission,D,RI
Dianne Feinstein (D-CA),34600,FEYE,FireEye Inc,Public Utilities,Oil/Gas Transmission,D,CA
Tom Carper (D-DE),34600,SPEU,SPDR Euro STOXX 50 ETF,Public Utilities,Oil/Gas Transmission,D,DE
Lisa Murkowski (R-AK),34600,FSLCX,Fidelity Small Cap Fund,Public Utilities,Oil/Gas Transmission,R,AK
Gary Peters (D-MI),34500,UBS,UBS Group,Public Utilities,Oil/Gas Transmission,D,MI
David Perdue (R-GA),34500,TEQIX,Mutual Quest Fund,Public Utilities,Oil/Gas Transmission,R,GA
David Perdue (R-GA),34400,LNG,"Cheniere Energy, Inc.",Public Utilities,Oil/Gas Transmission,R,GA
Susan Collins (R-ME),34400,FTGFX,Templeton Growth Fund,Consumer Non-Durables,Farming/Seeds/Milling,R,ME
John Boozman (R-AR),34200,PFE,Pfizer Inc,Consumer Non-Durables,Farming/Seeds/Milling,R,AR
Susan Collins (R-ME),34100,WASCX,Ivy Asset Strategy C (NASDAQ),Consumer Non-Durables,Farming/Seeds/Milling,R,ME
David Perdue (R-GA),34100,DOW,Dow Chemical,Consumer Non-Durables,Farming/Seeds/Milling,R,GA
Brian Schatz (D-HI),34000,MAVSX,Mutual of America Small Cap Value Institutional,Consumer Non-Durables,Farming/Seeds/Milling,D,HI
Ben Cardin (D-MD),33900,IGOV,iShares International Treasury Bond,Consumer Non-Durables,Farming/Seeds/Milling,D,MD
Michael Bennet (D-CO),33900,TVOAX,Touchstone Small Cap Core Fund,Consumer Non-Durables,Farming/Seeds/Milling,D,CO
Tom Carper (D-DE),33900,PG,Procter & Gamble,Consumer Non-Durables,Farming/Seeds/Milling,D,DE
Rob Portman (R-OH),33800,WIP,WIP - SPDR DB Intl Govt Infl-Protected Bond,Consumer Non-Durables,Farming/Seeds/Milling,R,OH
Tammy Duckworth (D-IL),33800,CWGIX,American Cap World Growth Income Fund,Consumer Non-Durables,Farming/Seeds/Milling,D,IL
David Perdue (R-GA),33700,MSM,"MSC Industrial Direct Co., Inc.",Consumer Non-Durables,Farming/Seeds/Milling,R,GA
Ron Wyden (D-OR),33700,DISVX,DFA International Small Cap Value Fund,Consumer Non-Durables,Farming/Seeds/Milling,D,OR
Shelley Moore Capito (R-WV),33600,USB,U.S. Bancorp,Consumer Non-Durables,Farming/Seeds/Milling,R,WV
Tom Carper (D-DE),33600,PHYS,Sprott Physical Gold Trust ETV,Consumer Non-Durables,Farming/Seeds/Milling,D,DE
Tom Udall (D-NM),33500,ESIYX,ESIYX - Wells Fargo Advantage Intl Bond A (NASDAQ),Consumer Non-Durables,Farming/Seeds/Milling,D,NM
Ted Cruz (R-TX),33400,CVX,Chevron Corp,Consumer Non-Durables,Farming/Seeds/Milling,R,TX
John Boozman (R-AR),33300,ECL,Ecolab Inc,Consumer Non-Durables,Farming/Seeds/Milling,R,AR
Gary Peters (D-MI),33300,MET,MetLife Inc,Consumer Non-Durables,Farming/Seeds/Milling,D,MI
Ron Wyden (D-OR),33200,OOSNX,Oppenheimer Senior Floating Rate Fund,Consumer Non-Durables,Farming/Seeds/Milling,D,OR
Gary Peters (D-MI),33000,LEG,Leggett & Platt,Consumer Non-Durables,Farming/Seeds/Milling,D,MI
Shelley Moore Capito (R-WV),33000,GIS,General Mills,Consumer Non-Durables,Farming/Seeds/Milling,R,WV
Mark Warner (D-VA),33000,DODFX,Dodge & Cox International Fund,Consumer Non-Durables,Farming/Seeds/Milling,D,VA
Thad Cochran (R-MS),32900,IP,International Paper,Consumer Non-Durables,Farming/Seeds/Milling,R,MS
Jerry Moran (R-KS),32900,CVX,Chevron Corp,Consumer Non-Durables,Farming/Seeds/Milling,R,KS
Dan Sullivan (R-AK),32400,IWD,iShares Russell 1000 Value ETF,Consumer Non-Durables,Farming/Seeds/Milling,R,AK
Jack Reed (D-RI),32400,NXPI,Nxp Semiconductors,Consumer Non-Durables,Farming/Seeds/Milling,D,RI
John Boozman (R-AR),32400,DBLEX,Doubleline Emg Mkts Inc,Consumer Non-Durables,Farming/Seeds/Milling,R,AR
Tom Carper (D-DE),32400,TGRUX,Invesco Pacific Growth Fund,Consumer Non-Durables,Farming/Seeds/Milling,D,DE
Sheldon Whitehouse (D-RI),32200,MO,Altria Group,Consumer Non-Durables,Farming/Seeds/Milling,D,RI
Susan Collins (R-ME),32200,WFC,Wells Fargo,Consumer Services,Television Services,R,ME
Mazie K Hirono (D-HI),32200,GDCFX,Goldman Sachs Dynamic Allocation Institutional,Consumer Services,Television Services,D,HI
Chris Coons (D-DE),32100,OPTFX,Oppenheimer Capital Appreciation Fund,Consumer Services,Television Services,D,DE
Bill Cassidy (R-LA),32000,CVS,CVS Health,Consumer Services,Television Services,R,LA
Gary Peters (D-MI),31800,UNP,Union Pacific Corp,Consumer Services,Television Services,D,MI
Tom Carper (D-DE),31800,FIF,First Trust Energy Infrastructure Fund,Consumer Services,Television Services,D,DE
Susan Collins (R-ME),31700,CMCSA,Comcast Corporation,Consumer Services,Television Services,R,ME
John Hoeven (R-ND),31400,VLO,Valero Energy,Miscellaneous,Business Services,R,ND
Susan Collins (R-ME),31400,HFECX,Henderson European Focus Fund,Miscellaneous,Business Services,R,ME
Thad Cochran (R-MS),31400,COP,ConocoPhillips,Miscellaneous,Business Services,R,MS
Shelley Moore Capito (R-WV),31400,PII,Polaris Industries,Miscellaneous,Business Services,R,WV
Susan Collins (R-ME),31200,HON,Honeywell International,Miscellaneous,Business Services,R,ME
Kamala Harris (D-CA),31200,VIEIX,VIEIX-Vanguard Extended Market Index Instl,Miscellaneous,Business Services,D,CA
Pat Roberts (R-KS),31100,BABA,Alibaba Group Holding Limited,Miscellaneous,Business Services,R,KS
Pat Toomey (R-PA),31100,NRDBY,Nordea Bank AB,Health Care,Major Pharmaceuticals,R,PA
Tammy Duckworth (D-IL),30800,OIEJX,JPMorgan Equity Income R6,Health Care,Major Pharmaceuticals,D,IL
Susan Collins (R-ME),30800,NSRGY,Nestle,Health Care,Major Pharmaceuticals,R,ME
David Perdue (R-GA),30700,EAF,GrafTech International Ltd.,Health Care,Major Pharmaceuticals,R,GA
John Hoeven (R-ND),30700,TWO,Two Harbors Investment Corp.,Health Care,Major Pharmaceuticals,R,ND
Jerry Moran (R-KS),30600,DIS,The Walt Disney Co,Health Care,Major Pharmaceuticals,R,KS
Dianne Feinstein (D-CA),30400,SCHW,Charles Schwab,Health Care,Major Pharmaceuticals,D,CA
Joe Manchin (D-WV),30400,DTMIX,DFA Tax-Managed International Value,Health Care,Major Pharmaceuticals,D,WV
Sheldon Whitehouse (D-RI),30300,CP,Canadian Pacific Railway,Health Care,Major Pharmaceuticals,D,RI
Pat Roberts (R-KS),30300,MA,Mastercard Inc,Health Care,Major Pharmaceuticals,R,KS
Tammy Duckworth (D-IL),30300,VZ,Verizon Communications,Health Care,Major Pharmaceuticals,D,IL
Gary Peters (D-MI),30300,ABBV,AbbVie Inc.,Health Care,Major Pharmaceuticals,D,MI
David Perdue (R-GA),30200,ENB,Enbridge Inc.,Consumer Services,Hotels/Resorts,R,GA
Susan Collins (R-ME),30200,MA,Mastercard Inc,Consumer Services,Hotels/Resorts,R,ME
Gary Peters (D-MI),30100,PLAAX,Pace Large Co Growth Equity Investments,Consumer Services,Hotels/Resorts,D,MI
Gary Peters (D-MI),30100,MPW,Medical Properties Trust,Consumer Services,Hotels/Resorts,D,MI
Tammy Duckworth (D-IL),30100,DIS,The Walt Disney Co,Consumer Services,Hotels/Resorts,D,IL
David Perdue (R-GA),30100,CZR,Caesars Entertainment Corporation,Consumer Services,Hotels/Resorts,R,GA
Mazie K Hirono (D-HI),30000,MFC,Manulife Financial,Finance,Accident &Health Insurance,D,HI
Jerry Moran (R-KS),29900,COST,Costco Wholesale,Finance,Accident &Health Insurance,R,KS
Tom Carper (D-DE),29900,VLO,Valero Energy,Finance,Accident &Health Insurance,D,DE
Thad Cochran (R-MS),29600,WBA,Walgreen Co,Finance,Accident &Health Insurance,R,MS
Angus King (D-ME),29600,GILD,Gilead Sciences,Finance,Accident &Health Insurance,D,ME
Bill Cassidy (R-LA),29600,VFC,V.F. Corporation,Finance,Accident &Health Insurance,R,LA
Joe Manchin (D-WV),29500,PRU,Prudential Financial,Finance,Accident &Health Insurance,D,WV
Tina Smith (D-MN),29400,HII,Huntington Ingalls Industries,Finance,Accident &Health Insurance,D,MN
Thad Cochran (R-MS),29400,V,Visa Inc,Finance,Accident &Health Insurance,R,MS
Sheldon Whitehouse (D-RI),29300,KO,Coca-Cola Co,Finance,Accident &Health Insurance,D,RI
Mike Crapo (R-ID),29300,PXTIX,PIMCO Fundamental Index,Finance,Accident &Health Insurance,R,ID
Thad Cochran (R-MS),29300,TCAP,Triangle Capital,Finance,Accident &Health Insurance,R,MS
Tammy Duckworth (D-IL),29100,VYM,Vanguard High Dividend Yield ETF,Finance,Accident &Health Insurance,D,IL
Cindy Hyde-Smith (R-MS),29100,ITHAX,Hartford Capitol Appreciated,Finance,Accident &Health Insurance,R,MS
Angus King (D-ME),29000,NEE,NextEra Energy,Finance,Accident &Health Insurance,D,ME
Thad Cochran (R-MS),29000,NEE,NextEra Energy,Finance,Accident &Health Insurance,R,MS
Bill Cassidy (R-LA),29000,AFL,Aflac Incorporated,Finance,Accident &Health Insurance,R,LA
James M Inhofe (R-OK),29000,MS,Dean Witter,Consumer Services,Rental/Leasing Companies,R,OK
Ben Sasse (R-NE),28900,IWP,iShares Russell Mid Cap Growth ETF,Consumer Services,Rental/Leasing Companies,R,NE
James M Inhofe (R-OK),28900,INTU,Intuit Inc.,Consumer Services,Rental/Leasing Companies,R,OK
David Perdue (R-GA),28900,SHLX,"Shell Midstream Partners, L.P.",Consumer Services,Rental/Leasing Companies,R,GA
Shelley Moore Capito (R-WV),28900,SMECF,SMC Corporation,Consumer Services,Rental/Leasing Companies,R,WV
James M Inhofe (R-OK),28800,CSX,CSX Corp,Consumer Services,Rental/Leasing Companies,R,OK
Cindy Hyde-Smith (R-MS),28600,RPEBX,American Funds New Perspective Fund,Consumer Services,Rental/Leasing Companies,R,MS
Tammy Duckworth (D-IL),28600,DODIX,Dodge & Cox Income Fund,Consumer Services,Rental/Leasing Companies,D,IL
James M Inhofe (R-OK),28500,BFAM,Bright Horizons Family Solutions Inc.,Consumer Services,Rental/Leasing Companies,R,OK
Tom Carper (D-DE),28400,PKG,Packaging Corp,Consumer Services,Rental/Leasing Companies,D,DE
James M Inhofe (R-OK),28300,CLR,Continental Resources,Consumer Services,Rental/Leasing Companies,R,OK
James M Inhofe (R-OK),28200,LH,Labcorp of America,Consumer Services,Rental/Leasing Companies,R,OK
David Perdue (R-GA),28200,DAL,"Delta Air Lines, Inc.",Consumer Services,Rental/Leasing Companies,R,GA
Shelley Moore Capito (R-WV),28100,IBM,IBM Corp,Consumer Services,Rental/Leasing Companies,R,WV
Thad Cochran (R-MS),28100,HD,Home Depot,Consumer Services,Rental/Leasing Companies,R,MS
Bernie Sanders (D-VT),28100,VUSTX,Vanguard Long-Term Treasury Fund,Consumer Services,Rental/Leasing Companies,D,VT
Tom Carper (D-DE),28100,WIA,Western Asset Claymore Inflation Protect,Consumer Services,Rental/Leasing Companies,D,DE
Cindy Hyde-Smith (R-MS),28100,BTIAX,NT TIPS INDEX FUND,Consumer Services,Rental/Leasing Companies,R,MS
John Hoeven (R-ND),28000,MRK,Merck & Co,Consumer Services,Rental/Leasing Companies,R,ND
Tammy Duckworth (D-IL),28000,CAIBX,American Funds Capital Income Builder Fund,Consumer Services,Rental/Leasing Companies,D,IL
Tammy Duckworth (D-IL),27800,JMBUX,JMBUX-JPMorgan Mortgage-Backed Securities R6Filer,Consumer Services,Rental/Leasing Companies,D,IL
Tammy Duckworth (D-IL),27700,SBLYX,SBLYX-ClearBridge Large Cap Growth I,Consumer Services,Rental/Leasing Companies,D,IL
David Perdue (R-GA),27600,UHAL,Amerco,Consumer Services,Rental/Leasing Companies,R,GA
David Perdue (R-GA),27600,M,Macy's Inc,Technology,Computer Communications Equipment,R,GA
David Perdue (R-GA),27500,CSCO,"Cisco Systems, Inc.",Technology,Computer Communications Equipment,R,GA
Ben Sasse (R-NE),27500,VNQI,Vanguard Global ex-US Real Estate ETF,Basic Industries,Major Chemicals,R,NE
Tom Carper (D-DE),27400,IEP,Icahn Enterprises,Basic Industries,Major Chemicals,D,DE
Susan Collins (R-ME),27300,MRK,Merck & Co,Basic Industries,Major Chemicals,R,ME
Tammy Duckworth (D-IL),27300,APHKX,Artisan International Value Fund,Basic Industries,Major Chemicals,D,IL
Gary Peters (D-MI),26900,NYT,New York Times,Basic Industries,Major Chemicals,D,MI
Susan Collins (R-ME),26900,EMC,EMC Corp. Mass EMC,Basic Industries,Major Chemicals,R,ME
Susan Collins (R-ME),26800,CP,Canadian Pacific Railway,Basic Industries,Major Chemicals,R,ME
Tammy Duckworth (D-IL),26800,FGORX,FGORX-Franklin US Government Secs R6,Basic Industries,Major Chemicals,D,IL
John Boozman (R-AR),26800,PG,Procter & Gamble,Basic Industries,Major Chemicals,R,AR
Tammy Duckworth (D-IL),26800,BSV,Vanguard Short Term Bond Fund,Basic Industries,Major Chemicals,D,IL
Doug Jones (D-AL),26700,NLSIX,Neuberger Berman Long Short Instl,Basic Industries,Major Chemicals,D,AL
David Perdue (R-GA),26700,COP,ConocoPhillips,Basic Industries,Major Chemicals,R,GA
Doug Jones (D-AL),26400,JCUAX,JHancock Absolute Return Currency I,Basic Industries,Major Chemicals,D,AL
Susan Collins (R-ME),26200,WEX,WEX Inc.,Basic Industries,Major Chemicals,R,ME
Sheldon Whitehouse (D-RI),26200,TMUS,"T-Mobile US, Inc.",Basic Industries,Major Chemicals,D,RI
Mike Enzi (R-WY),26100,JPC,Nuveen Preferred Income Opport,Basic Industries,Major Chemicals,R,WY
Sheldon Whitehouse (D-RI),26000,FB,Facebook Inc,Basic Industries,Major Chemicals,D,RI
Dianne Feinstein (D-CA),25900,AMRS,"Amyris, Inc.",Basic Industries,Major Chemicals,D,CA
Sheldon Whitehouse (D-RI),25800,VGT,Vanguard Information Technology ETF,Consumer Services,Transportation Services,D,RI
John Boozman (R-AR),25800,DTE,DTE Energy Company (NYSE),Consumer Services,Transportation Services,R,AR
David Perdue (R-GA),25700,KHC,The Kraft Heinz Company,Consumer Services,Transportation Services,R,GA
Tim Kaine (D-VA),25600,FGRIX,Fidelity Growth & Income Fund,Consumer Services,Transportation Services,D,VA
Tammy Duckworth (D-IL),25600,SIGVX,SIGVX-Virtus Seix US Govt Secs Ultr-Shrt Bd IFiler,Consumer Services,Transportation Services,D,IL
Kamala Harris (D-CA),25600,XSHD,PowerShares Exchange-Traded Fund Trust II,Consumer Services,Transportation Services,D,CA
Doug Jones (D-AL),25400,MEDIX,MEDIX - MFS Emerging Markets Debt I,Consumer Services,Transportation Services,D,AL
Doug Jones (D-AL),25300,PHYTX,Principal High Yield Inst,Consumer Services,Transportation Services,D,AL
John Boozman (R-AR),25300,SWK,Stanley Black & Decker,Consumer Services,Transportation Services,R,AR
Sheldon Whitehouse (D-RI),25300,CMRE,Costamare Inc,Consumer Services,Transportation Services,D,RI
David Perdue (R-GA),25100,BKNG,Booking Holdings Inc.,Consumer Services,Transportation Services,R,GA
Jim Risch (R-ID),25000,PEXMX,T Rowe Price Extended Equity Market Indx,Finance,Investment Bankers/Brokers/Service,R,ID
Joni Ernst (R-IA),25000,IVZ,Invesco Aim,Finance,Investment Bankers/Brokers/Service,R,IA
Tom Carper (D-DE),25000,GLAD,Gladstone Corp,Finance,Investment Bankers/Brokers/Service,D,DE
Cindy Hyde-Smith (R-MS),25000,VWNEX,Vanguard Windsor Adm,Finance,Investment Bankers/Brokers/Service,R,MS
Gary Peters (D-MI),25000,NEM,Newmont Mining,Finance,Investment Bankers/Brokers/Service,D,MI
Cindy Hyde-Smith (R-MS),24900,PRFEX,T ROWE PRICE INTERNATIONAL GROWTH EQUITY TRUST,Finance,Investment Bankers/Brokers/Service,R,MS
Ben Cardin (D-MD),24800,XLK,Technology Sector SPDR Trust,Finance,Investment Bankers/Brokers/Service,D,MD
Doug Jones (D-AL),24700,JHAIX,JHancock Global Absolute Ret Strats I,Finance,Investment Bankers/Brokers/Service,D,AL
Tom Carper (D-DE),24700,MSFT,Microsoft Corp,Finance,Investment Bankers/Brokers/Service,D,DE
Dan Sullivan (R-AK),24600,DODFX,Dodge & Cox International Fund,Finance,Investment Bankers/Brokers/Service,R,AK
John Thune (R-SD),24500,SGGDX,First Eagle Gold I,Finance,Investment Bankers/Brokers/Service,R,SD
Mitch McConnell (R-KY),24500,SGGDX,First Eagle Gold I,Finance,Investment Bankers/Brokers/Service,R,KY
Ben Sasse (R-NE),24500,IWO,iShares Russell 2000 Growth Fund,Finance,Investment Bankers/Brokers/Service,R,NE
Sheldon Whitehouse (D-RI),24400,PRASX,T Rowe Price New Asia,Finance,Investment Bankers/Brokers/Service,D,RI
Lisa Murkowski (R-AK),24400,MSEGX,Morgan Stanley Growth Fund,Finance,Investment Bankers/Brokers/Service,R,AK
Angus King (D-ME),24300,CME,CME Group Inc.,Finance,Investment Bankers/Brokers/Service,D,ME
Doug Jones (D-AL),24100,PSMIX,Principal Global Multi-Strategy Instl,Health Care,Major Pharmaceuticals,D,AL
Tom Carper (D-DE),23800,ABT,Abbott Laboratories,Health Care,Major Pharmaceuticals,D,DE
John Boozman (R-AR),23700,EAT,Brinker Intl Inc,Finance,Property-Casualty Insurers,R,AR
Tom Carper (D-DE),23600,IWD,iShares Russell 1000 Value ETF,Finance,Property-Casualty Insurers,D,DE
Bernie Sanders (D-VT),23600,VCSTX,Valic Science & Tech Fund,Finance,Property-Casualty Insurers,D,VT
Gary Peters (D-MI),23500,AIG,"American International Group, Inc.",Finance,Property-Casualty Insurers,D,MI
Gary Peters (D-MI),23400,QCOM,Qualcomm Inc,Consumer Services,RETAIL: Building Materials,D,MI
Doug Jones (D-AL),23400,OIBNX,Oppenheimer International Bond,Consumer Services,RETAIL: Building Materials,D,AL
Sheldon Whitehouse (D-RI),23400,HYT,Blackrock Corporate High Yield,Consumer Services,RETAIL: Building Materials,D,RI
Shelley Moore Capito (R-WV),23300,XOM,Exxon Mobil,Consumer Services,RETAIL: Building Materials,R,WV
Dianne Feinstein (D-CA),23100,FRC,First Republic Bank,Consumer Services,RETAIL: Building Materials,D,CA
Thad Cochran (R-MS),23000,SYK,Concentric Medical Inc,Consumer Services,RETAIL: Building Materials,R,MS
Gary Peters (D-MI),23000,VZ,Verizon Communications,Consumer Services,RETAIL: Building Materials,D,MI
Ed Markey (D-MA),23000,QQQ,Power Shares QQQ Trust,Consumer Services,RETAIL: Building Materials,D,MA
Jack Reed (D-RI),23000,QQQ,Power Shares QQQ Trust,Consumer Services,RETAIL: Building Materials,D,RI
Mike Enzi (R-WY),23000,QQQ,Power Shares QQQ Trust,Consumer Services,RETAIL: Building Materials,R,WY
Sheldon Whitehouse (D-RI),22900,COF,Capital One Financial,Consumer Services,RETAIL: Building Materials,D,RI
Gary Peters (D-MI),22800,CVS,CVS Health,Consumer Services,RETAIL: Building Materials,D,MI
Jerry Moran (R-KS),22800,HAL,Halliburton Co,Consumer Services,RETAIL: Building Materials,R,KS
