Senator,Estimated Holdings,Symbol,Company,Sector,Industry,P,S
Kamala Harris (D-CA),356800,ACWX,SFDCP International Equity,Technology,Computer Manufacturing,D,CA
Dianne Feinstein (D-CA),353900,FUN,Cedar Fair Limited Partnership Int,Technology,Computer Manufacturing,D,CA
Pat Toomey (R-PA),351900,QQQ,Power Shares QQQ Trust,Technology,Computer Manufacturing,R,PA
Dianne Feinstein (D-CA),346900,WCN,Waste Connections Inc,Technology,Computer Manufacturing,D,CA
John Boozman (R-AR),346200,FISV,Fiserv Inc,Technology,Computer Manufacturing,R,AR
Joe Manchin (D-WV),341800,MVBF,MVB Financial Corp,Technology,Computer Manufacturing,D,WV
Chuck Grassley (R-IA),341600,FXAIX,SPTN 500 Index,Technology,Computer Manufacturing,R,IA
Jeff Merkley (D-OR),340600,TWCGX,American Century Growth Institution,Technology,Computer Manufacturing,D,OR
Mark Warner (D-VA),340000,POGRX,Primecap Odyssey Funds,Technology,Computer Manufacturing,D,VA
Tom Udall (D-NM),338600,VINIX,VINIX - Vanguard Institutional Index I (NASDAQ),Technology,Computer Manufacturing,D,NM
Ed Markey (D-MA),337600,RSEGX,RS Small Cap Growth Mutual Fund,Technology,Computer Manufacturing,D,MA
Mitch McConnell (R-KY),334200,PREIX,T Rowe Price Equity Index 500,Technology,Computer Manufacturing,R,KY
Mitch McConnell (R-KY),334100,VGIAX,Vanguard Growth & Income Adm,Technology,Computer Manufacturing,R,KY
Rob Portman (R-OH),332000,POPFX,Prospector Opportunity (NASDAQ),Technology,Computer Manufacturing,R,OH
Chuck Grassley (R-IA),331800,VSMGX,Moderate Age-Based Option: Vanguard Growth Portfol,Technology,Computer Manufacturing,R,IA
Dianne Feinstein (D-CA),328500,PNR,Pentair plc,Technology,Computer Manufacturing,D,CA
Dan Sullivan (R-AK),323600,IWF,iShares Russell 1000 Growth,Technology,Computer Manufacturing,R,AK
John Hoeven (R-ND),323600,WMT,Wal-Mart Stores,Technology,Computer Manufacturing,R,ND
Pat Roberts (R-KS),320200,AAPL,Apple Inc.,Technology,Computer Manufacturing,R,KS
Lamar Alexander (R-TN),319100,VDADX,Vanguard Dividend Apprec Index,Technology,EDP Services,R,TN
Sheldon Whitehouse (D-RI),316900,VRC,VF Corp,Technology,EDP Services,D,RI
Bill Cassidy (R-LA),312200,PRWCX,T Rowe Price Capital Appreciation,Technology,EDP Services,R,LA
David Perdue (R-GA),307100,LYV,Live Nation Entertainment,Technology,EDP Services,R,GA
Kamala Harris (D-CA),305400,IEMG,iShares Core MSCI Emerging Markets ETF,Technology,EDP Services,D,CA
David Perdue (R-GA),305300,BAC,Bank of America,Technology,EDP Services,R,GA
